132, 34
127, 36
118, 44
110, 60
106, 59
99, 60
94, 59
89, 62
84, 65
81, 70
80, 78
81, 92
81, 104
81, 118
82, 129
84, 135
92, 150
99, 161
104, 169
105, 175
104, 191
100, 206
94, 222
90, 241
88, 262
88, 282
90, 298
92, 313
94, 322
94, 330
93, 342
93, 352
97, 356
103, 358
117, 358
122, 357
127, 356
134, 355
144, 349
154, 343
166, 343
172, 345
182, 354
192, 363
203, 368
224, 367
230, 363
232, 359
232, 351
229, 344
228, 340
228, 331
229, 320
230, 306
232, 289
234, 272
233, 255
232, 243
227, 217
222, 202
221, 196
225, 191
227, 184
226, 175
222, 167
216, 158
211, 151
212, 149
212, 142
211, 138
213, 133
217, 127
221, 121
223, 115
223, 106
222, 101
220, 93
219, 86
218, 83
217, 73
216, 59
215, 50
210, 43
204, 37
199, 36
195, 38
185, 49
179, 55
174, 57
167, 57
157, 56
154, 55
150, 51
143, 41
137, 36
